# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 10.1631 h/Mpc,
# number of wavenumbers equal to 683
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.648263333557e+00       2.609753356805e+01 
       1.686656479585e+00       2.471440015081e+01 
       1.725943854454e+00       2.340199351891e+01 
       1.766146310648e+00       2.215640713466e+01 
       1.807285178149e+00       2.097505494851e+01 
       1.849382278293e+00       1.985498068130e+01 
       1.892459937115e+00       1.879276682850e+01 
       1.936540998388e+00       1.778583191740e+01 
       1.981648836536e+00       1.683115560037e+01 
       2.027807369550e+00       1.592654785509e+01 
       2.075041071997e+00       1.506919543444e+01 
       2.123374988212e+00       1.425686593570e+01 
       2.172834745699e+00       1.348734992353e+01 
       2.223446568796e+00       1.275860061070e+01 
       2.275237292628e+00       1.206834843555e+01 
       2.328234377355e+00       1.141491793111e+01 
       2.382465922750e+00       1.079625790554e+01 
